date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:26:57	3224/3224	---M-Z	200	added ('OK')	application/x-javascript	etag:%22889be648e9db3f7561da54870a55ad07%22	http://connect.facebook.net/vi_VN/sdk.js	C:/Users/Admin/Desktop/justyle/Justyle/connect.facebook.net/vi_VN/sdk.js	(from http://justyle.com.vn/)
10:26:57	199/199	---M--	403	error ('Forbidden')	text/html	date:Mon,%2007%20Jun%202021%2003:26:59%20GMT	http://justyle.com.vn/application/views/orange/assets/fonts/glyphicons-halflings-regular.eot	C:/Users/Admin/Desktop/justyle/Justyle/justyle.com.vn/application/views/orange/assets/fonts/glyphicons-halflings-regular.eot	(from http://justyle.com.vn/application/views/orange/assets/css/bootstrap.min.css)
10:26:58	199/199	---M--	403	error ('Forbidden')	text/html	date:Mon,%2007%20Jun%202021%2003:26:59%20GMT	http://justyle.com.vn/application/views/orange/assets/fonts/glyphicons-halflings-regular.eot?	C:/Users/Admin/Desktop/justyle/Justyle/justyle.com.vn/application/views/orange/assets/fonts/glyphicons-halflings-regulard41d.eot	(from http://justyle.com.vn/application/views/orange/assets/css/bootstrap.min.css)
10:26:58	199/199	---M--	403	error ('Forbidden')	text/html	date:Mon,%2007%20Jun%202021%2003:26:59%20GMT	http://justyle.com.vn/application/views/orange/assets/fonts/glyphicons-halflings-regular.woff2	C:/Users/Admin/Desktop/justyle/Justyle/justyle.com.vn/application/views/orange/assets/fonts/glyphicons-halflings-regular.woff2	(from http://justyle.com.vn/application/views/orange/assets/css/bootstrap.min.css)
10:27:02	23424/23424	---M--	200	added ('OK')	application/x-font-woff	etag:%225b80-5b9dbaec8e3c4%22	http://justyle.com.vn/application/views/orange/assets/fonts/glyphicons-halflings-regular.woff	C:/Users/Admin/Desktop/justyle/Justyle/justyle.com.vn/application/views/orange/assets/fonts/glyphicons-halflings-regular.woff	(from http://justyle.com.vn/application/views/orange/assets/css/bootstrap.min.css)
10:27:03	108738/108738	---M--	200	added ('OK')	image/svg+xml	etag:%221a8c2-5b9dbaec6dc3c%22	http://justyle.com.vn/application/views/orange/assets/fonts/glyphicons-halflings-regular.svg	C:/Users/Admin/Desktop/justyle/Justyle/justyle.com.vn/application/views/orange/assets/fonts/glyphicons-halflings-regular.svg	(from http://justyle.com.vn/application/views/orange/assets/css/bootstrap.min.css)
10:27:06	45404/45404	---M--	200	added ('OK')	application/x-font-ttf	etag:%22b15c-5b9dbaec770ac%22	http://justyle.com.vn/application/views/orange/assets/fonts/glyphicons-halflings-regular.ttf	C:/Users/Admin/Desktop/justyle/Justyle/justyle.com.vn/application/views/orange/assets/fonts/glyphicons-halflings-regular.ttf	(from http://justyle.com.vn/application/views/orange/assets/css/bootstrap.min.css)
10:27:06	77160/77160	---M--	200	added ('OK')	text/html	etag:%2212d68-5b9db7ea4f62d%22	http://justyle.com.vn/plugins/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/Admin/Desktop/justyle/Justyle/justyle.com.vn/plugins/font-awesome/fonts/fontawesome-webfont3e6e.html	(from http://justyle.com.vn/plugins/font-awesome/css/font-awesome.min.css)
10:27:23	98024/98024	---M--	200	added ('OK')	application/x-font-woff	etag:%2217ee8-5b9db7ea43e95%22	http://justyle.com.vn/plugins/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/Admin/Desktop/justyle/Justyle/justyle.com.vn/plugins/font-awesome/fonts/fontawesome-webfont3e6e.woff	(from http://justyle.com.vn/plugins/font-awesome/css/font-awesome.min.css)
10:27:30	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-5b9db7e9e33b5%22	http://justyle.com.vn/plugins/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/Admin/Desktop/justyle/Justyle/justyle.com.vn/plugins/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from http://justyle.com.vn/plugins/font-awesome/css/font-awesome.min.css)
